,count,mean,std,min,25%,50%,75%,max
High,2991.0,6893.326038383186,11642.832455971686,74.56109619140625,436.1790008544922,2387.610107421875,8733.926947675,64863.0989077
Low,2991.0,6486.009538579529,10869.032129887595,65.5260009765625,422.8794860839844,2178.5,8289.80045903625,62208.96436559
Open,2991.0,6700.146239738725,11288.043736057743,68.50499725341797,430.44549560546875,2269.889892578125,8569.656493515,63523.75486927
Close,2991.0,6711.290443071488,11298.141921403469,68.43099975585938,430.5694885253906,2286.409912109375,8576.238715335,63503.45793019
Volume,2991.0,10906334004.866829,18888952979.843422,0.0,30367250.0,946035968.0,15920149610.46885,350967941479.06
Marketcap,2991.0,120876059112.8843,210943836987.40488,778411178.875,6305579328.825,37415031060.8,149995739945.5945,1186364044140.27
