Day,Interaction,Residences,Knowledge,Rainfall,Humidity,Temperature,Power
1,0.2139266414030214,0.6559734450427528,1.0920598037649139,-0.7988232357493226,0.7214494218209733,-0.0972200620638811,-0.14645645910240712
2,1.585995502260925,0.6559734450427528,0.1764302625947605,-0.7988232357493226,0.7214494218209733,-0.0972200620638811,2.4716752294066278
3,0.4099364786684362,0.6559734450427528,0.35955617082879116,1.09686574453215,-0.4841498665784339,1.1114020731393701,-0.6266992261902736
4,0.017916804137606615,0.6559734450427528,-0.3729474621073315,1.09686574453215,-0.4841498665784339,1.1114020731393701,-0.3410497033067513
5,1.38998566499551,-1.0365618117420858,0.35955617082879116,1.09686574453215,-0.4841498665784339,1.1114020731393701,1.8367422591572231
6,0.9979659904646805,0.6559734450427528,-0.006695645639270173,-0.7988232357493226,0.7214494218209733,-0.0972200620638811,-0.08106469140230231
7,0.4099364786684362,0.6559734450427528,0.9089338955308831,-0.7988232357493226,0.7214494218209733,-0.0972200620638811,-0.417515883278648
8,-0.9621323821894673,0.6559734450427528,-0.3729474621073315,-0.7988232357493226,0.7214494218209733,-0.0972200620638811,-0.1601676362008162
9,-0.37410287039322293,1.2201518639710323,-0.006695645639270173,-0.7988232357493226,0.7214494218209733,-0.0972200620638811,1.801936963445877
10,0.8019561531992657,0.6559734450427528,0.5426820790628218,1.333826867067334,-0.886016296044903,1.1114020731393701,1.7101775474796008
11,1.38998566499551,1.7843302828993117,0.1764302625947605,1.333826867067334,-0.886016296044903,1.1114020731393701,-0.9304545342165669
12,-0.7661225449240525,-1.6007402306703653,-0.7391992785753928,-1.0357843582845068,1.1233158512874424,-0.0972200620638811,-0.3610891159890415
13,1.585995502260925,-0.47238339281380626,0.5426820790628218,1.333826867067334,-1.287882725511372,1.1114020731393701,-0.4122423536254138
14,0.9979659904646805,0.09179502611447325,-0.006695645639270173,1.807749112137702,-2.09161558444431,1.1114020731393701,-0.5899603029394083
15,1.38998566499551,1.2201518639710323,-0.006695645639270173,1.807749112137702,-2.09161558444431,1.1114020731393701,-0.3610891159890415
16,1.9780151767917544,1.7843302828993117,0.5426820790628218,1.807749112137702,-2.09161558444431,1.1114020731393701,0.10790345450525862
17,1.585995502260925,-1.6007402306703653,-2.387332452681669,1.807749112137702,-2.09161558444431,1.1114020731393701,0.01807766607850175
18,1.585995502260925,1.2201518639710323,-0.3729474621073315,0.8599046219969658,-0.4841498665784339,1.1114020731393701,-0.2624741114735608
19,-0.37410287039322293,0.09179502611447325,-0.9223251868094234,0.8599046219969658,-0.4841498665784339,1.1114020731393701,-0.2276688157622147
20,1.38998566499551,1.7843302828993117,0.7258079872968525,0.8599046219969658,-0.4841498665784339,1.1114020731393701,0.1379625735286939
21,0.605946315933851,1.2201518639710323,0.35955617082879116,1.807749112137702,-1.287882725511372,1.1114020731393701,-0.3338425461139978
22,-1.158142219454882,-2.729097068526924,-2.0210806362136076,1.807749112137702,-1.287882725511372,1.1114020731393701,-0.2804041122945573
23,1.38998566499551,0.6559734450427528,1.0920598037649139,-1.2727454808196907,1.5251822807539113,-1.3058421972671324,-0.05153292534419047
24,0.9979659904646805,0.09179502611447325,-0.5560733703413622,0.14902125439141367,-0.886016296044903,-0.0972200620638811,1.1318471288415772
25,0.8019561531992657,-1.0365618117420858,-0.006695645639270173,0.14902125439141367,-0.886016296044903,-0.0972200620638811,1.8138902973265414
26,0.605946315933851,-0.47238339281380626,0.9089338955308831,0.8599046219969658,-0.886016296044903,1.1114020731393701,2.898479562675054
27,1.7820053395263398,0.6559734450427528,0.7258079872968525,-0.32490099067895445,-0.4841498665784339,1.1114020731393701,1.0931745780511926
28,0.605946315933851,0.6559734450427528,0.7258079872968525,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.2867323478784384
29,0.4099364786684362,0.6559734450427528,0.9089338955308831,0.14902125439141367,-0.886016296044903,-0.0972200620638811,1.1276283051189897
30,0.4099364786684362,0.6559734450427528,-0.18982155387330082,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.2951699953236132
31,1.38998566499551,1.2201518639710323,0.5426820790628218,0.14902125439141367,-0.886016296044903,-0.0972200620638811,0.09155551258023242
32,1.9780151767917544,1.7843302828993117,1.6414375284670057,0.14902125439141367,-0.886016296044903,-0.0972200620638811,0.3276338567233527
33,1.1939758277300954,-2.729097068526924,0.9089338955308831,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.045732042725632784
34,-0.17809303312780816,0.6559734450427528,-0.18982155387330082,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.03606390502803664
35,0.9979659904646805,-0.47238339281380626,0.9089338955308831,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.055400180423228924
36,0.4099364786684362,1.2201518639710323,0.7258079872968525,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.05153292534419047
37,1.38998566499551,0.6559734450427528,1.0920598037649139,0.14902125439141367,-0.886016296044903,-0.0972200620638811,1.7643191185861393
38,1.585995502260925,-0.47238339281380626,0.5426820790628218,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.11358479093058024
39,-0.7661225449240525,0.6559734450427528,-1.8379547279795767,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.2972794071849069
40,1.1939758277300954,-0.47238339281380626,-0.5560733703413622,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.3610891159890415
41,0.605946315933851,0.6559734450427528,0.1764302625947605,0.14902125439141367,-0.886016296044903,-0.0972200620638811,-0.020594884711882814
42,0.8019561531992657,1.2201518639710323,-0.006695645639270173,0.14902125439141367,-0.886016296044903,-0.0972200620638811,0.457186901871141
43,1.1939758277300954,0.6559734450427528,-0.3729474621073315,-1.2727454808196907,0.7214494218209733,-0.0972200620638811,-0.3417528405938492
44,0.9979659904646805,0.6559734450427528,0.1764302625947605,-1.2727454808196907,1.1233158512874424,-1.3058421972671324,-0.27231803349293143
45,1.38998566499551,0.6559734450427528,0.9089338955308831,1.807749112137702,-2.09161558444431,-0.0972200620638811,-0.3011466622639454
46,0.605946315933851,0.6559734450427528,0.35955617082879116,1.570787989602518,-1.287882725511372,-0.0972200620638811,0.6793782845940778
47,-0.7661225449240525,1.2201518639710323,1.8245634367010364,1.570787989602518,-1.287882725511372,-0.0972200620638811,-0.41857058920929485
48,0.017916804137606615,1.2201518639710323,-0.006695645639270173,1.570787989602518,-1.287882725511372,-0.0972200620638811,0.37738081978552923
49,-0.7661225449240525,-1.6007402306703653,-1.2885770032774848,1.570787989602518,-1.287882725511372,-0.0972200620638811,0.02282384276641258
50,-1.5501618939857116,-1.0365618117420858,-0.5560733703413622,1.570787989602518,-1.287882725511372,-0.0972200620638811,-1.2665541574493637
51,0.9979659904646805,-1.0365618117420858,-0.3729474621073315,1.570787989602518,-1.287882725511372,-0.0972200620638811,0.03741394147369403
